level,exp_required_to_next_level,swordie_rule,source
1,15,hardcoded,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
2,34,hardcoded,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
3,57,hardcoded,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
4,92,hardcoded,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
5,135,hardcoded,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
6,372,hardcoded,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
7,560,hardcoded,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
8,840,hardcoded,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
9,1242,hardcoded,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
10,1242,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
11,1242,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
12,1242,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
13,1242,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
14,1242,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
15,1490,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
16,1788,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
17,2145,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
18,2574,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
19,3088,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
20,3705,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
21,4446,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
22,5335,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
23,6402,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
24,7682,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
25,9218,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
26,11061,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
27,13273,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
28,15927,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
29,19112,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
30,19112,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
31,19112,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
32,19112,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
33,19112,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
34,19112,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
35,22934,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
36,27520,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
37,33024,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
38,39628,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
39,47553,previous * 1.20,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
40,51357,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
41,55465,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
42,59902,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
43,64694,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
44,69869,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
45,75458,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
46,81494,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
47,88013,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
48,95054,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
49,102658,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
50,110870,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
51,119739,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
52,129318,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
53,139663,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
54,150836,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
55,162902,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
56,175934,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
57,190008,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
58,205208,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
59,221624,previous * 1.08,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
60,221624,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
61,221624,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
62,221624,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
63,221624,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
64,221624,flat from previous level,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
65,238245,previous * 1.075,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
66,256113,previous * 1.075,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
67,275321,previous * 1.075,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
68,295970,previous * 1.075,https://gitlab.com/swordiemen/swordie-232/-/raw/main/src/main/java/net/swordie/ms/constants/GameConstants.java
